"","City","State","latitude","longitude","total_crashes"
"1","","AL ",32.739632,-86.843459,3
"2","","CA ",37.155177,-119.543418,4
"3","","FL ",28.45743,-82.409148,8
"4","","ID ",44.302099,-114.595628,3
"5","","MI ",44.844176,-85.660493,1
"6","","NC ",35.53971,-79.130864,1
"7","","NJ ",40.107274,-74.665201,3
"8","","NY ",42.913397,-75.596272,6
"9","","OR ",43.971713,-120.622958,1
"10","","PA ",40.902496,-77.833451,3
"11","","TN ",35.858564,-86.349357,2
"12","","TX ",31.434703,-99.281824,9
"13","","UT ",39.334993,-111.656333,1
"14","","VA ",37.522251,-78.668194,1
"15","","WV ",38.647285,-80.618327,3
"16","Acton","CA ",34.48319,-118.18583,2
"17","Afton","NY ",42.255147,-75.533335,2
"18","Airmont","NY ",NA,NA,2
"19","Alafaya","FL ",28.45743,-82.409148,2
"20","Alan Park","MI ",NA,NA,1
"21","Albany","NY ",42.614852,-73.970812,2
"22","Albertville","AL ",34.249752,-86.261095,2
"23","Albuquerque","NM ",35.199592,-106.644831,2
"24","Alpharetta","GA ",34.112373,-84.30205,2
"25","Altadena","CA ",34.195275,-118.137227,2
"26","Altamonte Springs","FL ",28.666625,-81.365039,2
"27","Anaheim","CA ",33.844983,-117.952151,2
"28","Asheville","NC ",35.602711,-82.567281,2
"29","Athens","NY ",42.28004,-73.837035,2
"30","Atlanta","GA ",33.844371,-84.47405,8
"31","Atwater","CA ",37.317255,-120.647347,2
"32","Austin","TX ",30.268335,-97.741382,4
"33","Avondale","AZ ",33.4356,-112.3496,2
"34","Ayden","NC ",35.463405,-77.359224,2
"35","Ballinger","TX ",31.770615,-99.911547,2
"36","Baltimore","MD ",39.296536,-76.623489,2
"37","Basking Ridge","NJ ",40.682651,-74.573001,2
"38","Beaumont","TX ",30.073712,-94.109705,2
"39","Beckett","MA ",42.3418,-73.103468,3
"40","Bedford","PA ",39.95464,-78.574759,2
"41","Bee Cave","TX ",30.321025,-97.884751,2
"42","Bellevue","WA ",47.615471,-122.207221,2
"43","Belton","MO ",38.784041,-94.532397,2
"44","Bethlehem","PA ",40.58883,-75.351958,1
"45","Bethpage","NY ",40.728449,-73.495369,1
"46","Big Clifty","KY ",37.54561,-86.15358,2
"47","Big Pine Key","FL ",24.669865,-81.353969,2
"48","Bloomington","MN ",43.86663,-93.05103,2
"49","Blue Springs","MO ",38.964518,-94.370275,2
"50","Blue Springs","MS ",34.40177,-88.87284,2
"51","Bluffdale","UT ",40.495789,-111.943116,2
"52","Boca Raton","FL ",26.348017,-80.218991,6
"53","Bombay","NY ",44.93893,-74.56769,2
"54","Bothell","WA ",47.750689,-122.214376,2
"55","Boyce","VA ",39.048614,-78.060132,1
"56","Brattleboro","VT ",42.884281,-72.760753,2
"57","Brecksville","OH ",41.31978,-81.62679,2
"58","Brentwood","TN ",35.874553,-86.907565,2
"59","Brooklyn","NY ",40.694481,-73.989319,2
"60","Brussels","WI ",44.752379,-87.625888,2
"61","Burbank","CA ",34.200993,-118.292773,3
"62","Burlington","NC ",36.029833,-79.49161,2
"63","Calabasas","CA ",34.12331,-118.671028,2
"64","Calhoun","GA ",34.496921,-84.887942,2
"65","Camarillo","CA ",34.227855,-119.079869,2
"66","Campbell","CA ",37.278563,-121.955101,1
"67","Carlisle","PA ",40.20148,-77.18887,1
"68","Carmichael","CA ",38.62136,-121.332191,2
"69","Carrboro","NC ",35.905477,-79.090077,2
"70","Carrollton","TX ",32.962473,-96.89817,2
"71","Cary","NC ",35.763369,-78.788169,2
"72","Castro Valley","CA ",37.731229,-122.066373,4
"73","Catonsville","MD ",39.26461,-76.74241,2
"74","Centerville","OH ",39.975905,-80.965374,2
"75","Chalfont","PA ",40.288277,-75.201848,1
"76","Chandler","AZ ",33.324113,-111.878217,4
"77","Chantilly","VA ",38.88668,-77.44566,1
"78","Charleston","SC ",32.780326,-79.940844,2
"79","Chazy","NY ",44.879906,-73.452578,4
"80","Cherry Hill","NJ ",39.931978,-75.027557,2
"81","Chesterfield","NJ ",40.103026,-74.733455,2
"82","Chicago","IL ",41.88531,-87.62213,5
"83","Chikaming Twp","MI ",44.844176,-85.660493,3
"84","Chino","CA ",33.953755,-117.639209,5
"85","Clarendon","TX ",34.968107,-100.891655,2
"86","Clayton","NC ",35.633257,-78.435416,2
"87","Clifton","NJ ",40.877949,-74.141237,2
"88","Coachella","CA ",33.6803,-116.17389,2
"89","Cobb County","GA ",31.968395,-83.978975,1
"90","Coconut Creek","FL ",26.399526,-81.839532,2
"91","Columbus","OH ",40.100924,-83.013402,6
"92","Concord","CA ",37.953672,-122.022872,1
"93","Concord","NC ",35.371633,-80.562141,2
"94","Conshohocken","PA ",40.082509,-75.304377,2
"95","Corona","CA ",33.752886,-116.055617,6
"96","Cortlandt","NY ",42.614268,-76.120128,2
"97","Costa Mesa","CA ",33.678399,-117.911715,2
"98","Coxs Creek","KY ",37.912465,-85.465785,3
"99","Creola","AL ",30.89185,-88.03972,2
"100","Culpeper","VA ",38.511694,-77.9928,2
"101","Dade City","FL ",28.416397,-82.212104,2
"102","Dallas","TX ",32.781179,-96.790329,13
"103","Darien","CT ",41.075846,-73.480765,2
"104","Dayton","OH ",39.750471,-84.268593,2
"105","Decatur","GA ",33.772554,-84.291723,1
"106","Denver","CO ",39.760189,-104.996553,2
"107","Desert Center","CA ",33.809041,-115.366577,2
"108","Desert Hot Springs","CA ",33.95154,-116.520104,2
"109","Detroit","MI ",42.347021,-83.060184,2
"110","Diamond Bar","CA ",34.02862,-117.81034,4
"111","Dog Town","CA ",NA,NA,5
"112","Duluth","GA ",34.025598,-84.13045,1
"113","DuPont","WA ",47.09676,-122.63124,2
"114","Durham","NC ",35.99924,-78.897944,2
"115","Easley","SC ",34.843968,-82.643754,3
"116","East Columbus","TX ",29.70662,-96.53969,3
"117","East Rutherford","NJ ",40.828399,-74.093886,1
"118","Eden","WI ",43.6936,-88.36094,2
"119","Edmond","OK ",35.674777,-97.499681,2
"120","El Monte","CA ",34.078573,-118.043456,2
"121","Ellensburg","WA ",47.028084,-120.48998,2
"122","Elmhurst","IL ",41.88353,-87.946413,2
"123","Emeryville","CA ",37.833876,-122.29548,2
"124","Emigrant Gap","CA ",39.29684,-120.67271,2
"125","Emporia","VA ",36.694745,-77.535517,2
"126","Eniat","WA ",47.580848,-122.784369,1
"127","Escondido","CA ",33.102005,-117.08042,3
"128","Evergreen","CO ",39.522014,-105.223945,2
"129","Fairfax","VA ",38.853231,-77.305097,2
"130","Fairfield","TX ",31.767543,-96.138094,2
"131","Fairhope","AL ",30.480713,-87.861306,2
"132","Fairland","MD ",39.07622,-76.957753,2
"133","Fairview Park","OH ",40.061242,-81.237909,2
"134","Fairview Township","PA ",42.037521,-80.230321,2
"135","Falmouth","VA ",NA,NA,1
"136","Fife","WA ",NA,NA,3
"137","Fillmore","CA ",34.393387,-118.864285,1
"138","Flemington","NJ ",40.50786,-74.863283,2
"139","Flushing","NY ",40.766382,-73.82619,1
"140","Fontana","CA ",34.103288,-117.4363,2
"141","Ford","NJ ",NA,NA,1
"142","Forked River","NJ ",39.876031,-74.230522,3
"143","Forsyth","GA ",33.025944,-83.915021,1
"144","Fort Lauderdale","FL ",26.121323,-80.127909,4
"145","Fort McDowell","AZ ",33.625163,-111.677135,2
"146","Fort White","KY ",NA,NA,1
"147","Fortville","IN ",39.894912,-85.792762,2
"148","Framingham","MA ",42.320169,-71.440409,2
"149","Franklin","KY ",36.740598,-86.583305,1
"150","Franklin Township","PA ",41.335291,-79.783172,2
"151","Fredericksburg","VA ",38.295135,-77.483689,1
"152","Freedom Township","OH ",41.205612,-81.147599,2
"153","Fremont","CA ",37.565285,-121.982721,9
"154","Fresno","CA ",36.8411,-119.801015,2
"155","Gainesville","FL ",29.648993,-82.324515,3
"156","Gallatin","TN ",36.401201,-86.449479,2
"157","Garden Grove","CA ",33.787165,-117.931889,2
"158","Garfield","NJ ",40.884648,-74.110336,1
"159","Genoa","OH ",41.524657,-83.352477,2
"160","Gilroy","CA ",37.023347,-121.493849,2
"161","Gladeview","FL ",NA,NA,2
"162","Glen Cove","NY ",40.86232,-73.63374,2
"163","Glendale","CA ",34.17051,-118.289463,2
"164","Glendora","CA ",34.119363,-117.855059,2
"165","Godwin","NC ",35.194383,-78.678821,2
"166","Golden","CO ",39.718539,-105.245659,2
"167","Goldsboro","NC ",35.368277,-78.092871,3
"168","Granite Bay","CA ",38.756614,-121.183436,2
"169","Grantsville","UT ",40.59994,-112.4644,2
"170","Great Falls","VA ",39.001609,-77.306416,2
"171","Green River","UT ",39.020075,-110.213864,1
"172","Greenacres","FL ",26.623679,-80.125321,2
"173","Greenfield","CA ",36.3208,-121.24381,2
"174","Greenwood","MS ",33.550408,-90.224856,3
"175","Griffin","GA ",33.265854,-84.289552,2
"176","Hanford","CA ",36.220468,-119.71776,2
"177","Harrisburg","NC ",35.32375,-80.6559,2
"178","Hatfield Township","PA ",40.286592,-75.29093,2
"179","Hauppauge","NY ",40.810246,-73.191789,2
"180","Hayward","CA ",37.673946,-122.08482,6
"181","Henrietta","NY ",43.05923,-77.61222,1
"182","Hickory Hills","IL ",41.72559,-87.82506,2
"183","Hilliard","OH ",40.0334,-83.15825,2
"184","Hopewell Junction","NY ",41.58436,-73.80236,2
"185","Hopkinton","MA ",42.22358,-71.52282,2
"186","Houston","TX ",29.813142,-95.309789,14
"187","Huber Heights","OH ",39.843947,-84.124661,2
"188","I35 btw San Antonio and Austin","TX ",30.60787,-97.684886,1
"189","Indio","CA ",33.710984,-116.204844,1
"190","Inglewood","CA ",33.956526,-118.358654,2
"191","Irondale","AL ",33.53816,-86.70721,2
