"","City","State","latitude","longitude","total_crashes"
"1","","",NA,NA,2
"2","","WY ",42.991802,-107.541926,1
"3","ALBUQUERQUE","NM ",35.199592,-106.644831,4
"4","Ann Arbor","MI ",42.266638,-83.849042,1
"5","Arlington","TX ",32.635563,-97.148829,3
"6","Austin","TX ",30.268335,-97.741382,5
"7","Belmont","CA ",37.516644,-122.29339,2
"8","Chandler","AZ ",33.324113,-111.878217,5
"9","Commerce","CA ",NA,NA,2
"10","Coral Gables","FL ",25.748283,-80.271321,4
"11","Dunedin","FL ",28.010895,-82.773995,1
"12","Ennis","TX ",32.333778,-96.63479,6
"13","Fremont","CA ",37.565285,-121.982721,7
"14","Golden","CO ",39.718539,-105.245659,6
"15","Indianapolis","IN ",39.775092,-86.13216,4
"16","Irvine","CA ",33.757245,-117.750414,1
"17","Las Vegas","CA ",NA,NA,2
"18","Las Vegas","NV ",36.17372,-115.10647,5
"19","Los Angelas","CA ",33.973951,-118.248405,1
"20","Los Angeles","CA ",33.973951,-118.248405,3
"21","Mammoth","WY ",NA,NA,1
"22","Maxatawny Township","PA ",40.547528,-75.702562,1
"23","Menlo Park","CA ",37.439616,-122.186373,2
"24","Mesa","AZ ",33.440695,-111.856967,1
"25","Miami","FL ",25.558428,-80.458168,12
"26","Miami Beach","FL ",25.558428,-80.458168,7
"27","Miliptas","CA ",37.436454,-121.861989,1
"28","Mountain View","CA ",37.189396,-121.705327,1
"29","Orlando","FL ",28.545179,-81.373291,1
"30","Palmer","TX ",32.460524,-96.675575,5
"31","Palo Alto","CA ",37.444122,-122.149915,2
"32","Phoenix","AZ ",33.703967,-112.351835,26
"33","Pittsburgh","PA ",40.47441,-79.950968,2
"34","Rochester","MN ",44.075285,-92.516916,2
"35","Sacaton","AZ ",33.141592,-111.714232,3
"36","Saint Clair","MI ",42.876235,-82.547672,2
"37","San Francisco","CA ",37.776646,-122.417481,265
"38","San Jose","CA ",37.346608,-121.909871,2
"39","San Mateo","CA ",37.573485,-122.32253,1
"40","Santa Rosa","NM ",34.852639,-104.589897,2
"41","Sunnyvale","CA ",37.371647,-122.023153,1
"42","Tempe","AZ ",33.401395,-111.931298,19
"43","Tucson","AZ ",32.217975,-110.970869,2
"44","Tustin","CA ",33.73401,-117.819157,1
"45","Washington DC","DC ",38.911936,-77.016719,6
"46","WDC","DC ",38.911936,-77.016719,2
"47","Yellowstone National Park","WY ",44.795733,-110.613731,1
